lab proto group dose1 dose2 body wet blot
Citijapan A  3  0.01  0.00    55.50    36.60    36.30
Citijapan A  4  0.03  0.00    51.60    33.50    32.70
Citijapan A  4  0.03  0.00    55.10    27.10    26.80
Citijapan A  4  0.03  0.00    48.70    35.90    35.50
Citijapan A  4  0.03  0.00    49.60    34.70    34.00
Citijapan A  4  0.03  0.00    53.10    33.70    31.80
Citijapan A  4  0.03  0.00    50.60    30.80    30.50
Citijapan A  5  0.10  0.00    49.10    38.00    36.80
Citijapan A  5  0.10  0.00    50.00    34.10    33.80
Citijapan A  5  0.10  0.00    49.50    35.00    33.20
Citijapan A  5  0.10  0.00    56.70    38.80    38.60
Citijapan A  5  0.10  0.00    48.80    33.40    31.40
Citijapan A  5  0.10  0.00    55.10    36.30    36.30
Citijapan A  6  0.30  0.00    55.30    36.80    35.90
Citijapan A  6  0.30  0.00    46.50    28.60    27.00
Citijapan A  6  0.30  0.00    53.30    39.80    39.30
Citijapan A  6  0.30  0.00    54.90    35.30    35.00
Citijapan A  6  0.30  0.00    54.00    34.70    33.80
Citijapan A  6  0.30  0.00    53.00    42.00    41.00
Citijapan A  7  1.00  0.00    48.80    58.30    57.90
Citijapan A  7  1.00  0.00    50.00    61.90    60.40
Citijapan A  7  1.00  0.00    51.10    48.80    47.70
Citijapan A  7  1.00  0.00    51.00    71.90    70.90
Citijapan A  7  1.00  0.00    54.70    50.00    47.70
Citijapan A  7  1.00  0.00    53.90    44.40    43.90
Citijapan A  8  3.00  0.00    52.60   103.00    98.70
Citijapan A  8  3.00  0.00    54.20   126.00   109.00
Citijapan A  8  3.00  0.00    46.20   153.00   103.90
Citijapan A  8  3.00  0.00    51.80    92.80    90.80
Citijapan A  8  3.00  0.00    48.70   139.40   123.20
Citijapan A  8  3.00  0.00    53.10   109.30    89.60
Citijapan A  9 10.00  0.00    50.60   199.10   137.80
Citijapan A  9 10.00  0.00    49.90   255.60   142.90
Citijapan A  9 10.00  0.00    51.90   186.20   138.80
Citijapan A  9 10.00  0.00    48.90   173.40   109.10
Citijapan A  9 10.00  0.00    54.40   216.30   143.10
Citijapan A  9 10.00  0.00    55.10   182.50   129.20
Citijapan A 10  3.00  0.10    53.30   141.70   120.70
Citijapan A 10  3.00  0.10    47.30    80.40    78.90
Citijapan A 10  3.00  0.10    48.70    98.50    91.50
Citijapan A 10  3.00  0.10    48.00   129.70   108.80
Citijapan A 10  3.00  0.10    53.30   112.10   106.10
Citijapan A 10  3.00  0.10    52.20    73.80    72.00
Citijapan A 11  3.00  1.00    52.60    58.00    57.10
Citijapan A 11  3.00  1.00    50.80    55.50    53.80
Citijapan A 11  3.00  1.00    59.30    48.80    47.40
Citijapan A 11  3.00  1.00    49.20    44.80    43.30
Citijapan A 11  3.00  1.00    50.10    44.80    43.50
Citijapan A 11  3.00  1.00    47.30    42.70    41.50
Citijapan B  1  0.00  0.00    53.00    33.20    32.60
